nombre,nif,tipo,n_concesiones,importe_total_eur,ultima_concesion,territorio,ultima_convocatoria,temas
"FUNDACION GIZAKIA HERRITAR","G31981368","Asociación/Fundación","3","113034","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","inclusión social · igualdad"
"FUNDACION ELKARKIDE FUNDAZIOA","G71525984","Asociación/Fundación","3","100617","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","personas con discapacidad · igualdad"
"FUNDACION PAUMA","G31706674","Asociación/Fundación","3","24468","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","voluntariado · igualdad"
"ASOCIACION DE DAÑO CEREBRAL DE NAVARRA","G31523715","Asociación/Fundación","2","127104","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","personas con discapacidad · igualdad"
"APAMEX","G06014013","Asociación/Fundación","2","21473","2026-05-21","DON BENITO","PROYECTO: INTEGRACION SOCIOLABORAL DE PERSONAS CON DISCAPACI","acción social · personas con discapacidad"
"ASOCIACION DE MUJERES EMPRESARIAS Y           DIRECTIVAS DE NAVARRA","G31531940","Asociación/Fundación","1","89993","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","igualdad"
"ASOCIACION DE PERSONAS CON DISCAPACIDAD DE CORELLA","G31575939","Asociación/Fundación","1","64647","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a Centros Especiales de Empleo 2026 para el coste","personas con discapacidad"
"ASOCIACION TELE TAXIS SAN FERMIN","G31143175","Asociación/Fundación","1","6047","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a Centros Especiales de Empleo 2026 para el coste","personas con discapacidad"
"APA DEL COLEGIO PUBLICO MARCEL.LI MORAGAS DE GAVA","G58379413","Asociación/Fundación","1","5445","2026-05-21","GAVÀ","CONVOCATORIA PARA LA SOLICITUD Y OTORGAMIENTO DE SUBVENCIONE","igualdad"
"FUNDACION KOINEAEQUALITAS PARA LA CALIDAD Y DESARROLLO SOCIAL","G83496000","Asociación/Fundación","1","5400","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","igualdad"
"ASOCIACION CEDERNA GARALUR","G31372063","Asociación/Fundación","1","5000","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","igualdad"
"ESCUELA NAVARRA DE TEATRO EL COLECTIVO","G31156920","Asociación/Fundación","1","5000","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","igualdad"
"COLEGIO OFICIAL DE INGENIEROS INDUSTRIALES    DE NAVARRA","G31642515","Asociación/Fundación","1","4685","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","igualdad"
"ASOCIACION SEI ELKARTEA","G31710643","Asociación/Fundación","1","4647","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","igualdad"
"FUNDACION INDUSTRIAL NAVARRA","G71185912","Asociación/Fundación","1","4100","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","igualdad"
"CLUB DE MARKETING DE NAVARRA","G31111594","Asociación/Fundación","1","4060","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","igualdad"
"ASOCIACION NAVARRA TALLERES REPARACION VEHICULOS","G31084635","Asociación/Fundación","1","4040","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","igualdad"
"PROYECTO HOMBRE NAVARRA","G31276504","Asociación/Fundación","1","3628","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","igualdad"
"AMPA CEIP GAVA MAR","G65006405","Asociación/Fundación","1","2874","2026-05-21","GAVÀ","CONVOCATORIA PARA LA SOLICITUD Y OTORGAMIENTO DE SUBVENCIONE","igualdad"
"LA PAMPLONESA ASOCIACION CULTURAL BANDA DE MUSICA","G31111768","Asociación/Fundación","1","1500","2026-05-21","COMUNIDAD FORAL DE NAVARRA","Subvención a entidades sin ánimo de lucro y a empresas para ","igualdad"
"AMPA CEIP SALVADOR LLUCH","G58210410","Asociación/Fundación","1","500","2026-05-21","GAVÀ","CONVOCATORIA PARA LA SOLICITUD Y OTORGAMIENTO DE SUBVENCIONE","igualdad"
"AMPA CEIP L'ERAMPRUNYA DE GAVA","G58867144","Asociación/Fundación","1","500","2026-05-21","GAVÀ","CONVOCATORIA PARA LA SOLICITUD Y OTORGAMIENTO DE SUBVENCIONE","igualdad"
"CONFEDERACION GALEGA DE PERSOAS CON DISCAPACIDADE","G32115941","Asociación/Fundación","2","50000","2026-05-19","CORUÑA, A","Convenio entre COGAMI y el Ayuntamiento de A Coruña para la ","personas con discapacidad"
"FUNDACION ACESCAM","G13604517","Asociación/Fundación","2","14344","2026-05-19","CASTILLA-LA MANCHA","Resolución de publicación de créditos para 2026, de las subv","inclusión social"
"HOSPITAL SAN JUAN DE DIOS-ORDEN HOSPITALARIA SAN JUAN DE DIOS","R3100274D","Entidad religiosa/social","1","39232","2026-05-19","COMUNIDAD FORAL DE NAVARRA","Subvención a Centros Especiales de Empleo 2026 para el coste","personas con discapacidad"
"PLATAFORMA DEL TERCER SECTOR DE EXTREMADURA","G06635478","Asociación/Fundación","1","5000","2026-05-19","DIPUTACIÓN PROV. DE BADAJOZ","SUBVENCIÓN NOMINATIVA PLATAFORMA DEL TERCER SECTOR EXTREMADU","tercer sector"
"FUNDACION MANOS UNIDAS","G28567790","Asociación/Fundación","9","296746","2026-05-15","PONFERRADA","CONVOCATORIA PUBLICA ANTICIPADA DE SUBVENCIONES COOPERACION ","cooperación al desarrollo"
"ASOCIACION SOLIDARIDAD,EDUCACION Y DESARROLLO - SED","G80547565","Asociación/Fundación","5","203437","2026-05-15","PONFERRADA","CONVOCATORIA PUBLICA ANTICIPADA DE SUBVENCIONES COOPERACION ","cooperación al desarrollo"
"ONGD ACCION SIN FRONTERAS","G30256655","Asociación/Fundación","5","125159","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"FUNDACION SECRETARIADO GITANO","G83117374","Asociación/Fundación","2","121500","2026-05-15","PRINCIPADO DE ASTURIAS","SUBVENCION FSG REDUCCION DESIGUALDADES POBLACION GITANA","inclusión social · igualdad"
"FUNDACION AMIGOS DE MONKOLE","G87884623","Asociación/Fundación","2","51994","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"FUNDACION AGUA DE COCO","G18860643","Asociación/Fundación","2","32720","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"SENDERA ONG (ASOC NUEVOS CAMINOS - NOUS CAMINS)","G08737447","Asociación/Fundación","2","28742","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"FUNDACIÓN SAMU","G41914243","Asociación/Fundación","2","8000","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","voluntariado · cooperación al desarrollo"
"CARITAS DIOCESANA DE ASTORGA","R2400081B","Entidad religiosa/social","1","12000","2026-05-15","PONFERRADA","CONVOCATORIA PUBLICA ANTICIPADA DE SUBVENCIONES COOPERACION ","cooperación al desarrollo"
"ASOCIACION BIERZO AYUDA","G24348245","Asociación/Fundación","1","12000","2026-05-15","PONFERRADA","CONVOCATORIA PUBLICA ANTICIPADA DE SUBVENCIONES COOPERACION ","cooperación al desarrollo"
"ASOCIACION COOPERACION BIERZO SUR","G24627705","Asociación/Fundación","1","12000","2026-05-15","PONFERRADA","CONVOCATORIA PUBLICA ANTICIPADA DE SUBVENCIONES COOPERACION ","cooperación al desarrollo"
"ASOCIACION DE AMIGOS DEL PUEBLO SAHARAUI DEL BIERZO","G24332538","Asociación/Fundación","1","9000","2026-05-15","PONFERRADA","CONVOCATORIA PUBLICA ANTICIPADA DE SUBVENCIONES COOPERACION ","cooperación al desarrollo"
"FUNDACION SIEMPRE ADELANTE","G84021120","Asociación/Fundación","1","8250","2026-05-15","PONFERRADA","CONVOCATORIA PUBLICA ANTICIPADA DE SUBVENCIONES COOPERACION ","cooperación al desarrollo"
"ASOCIACION BASSARI","G87628103","Asociación/Fundación","1","7250","2026-05-15","PONFERRADA","CONVOCATORIA PUBLICA ANTICIPADA DE SUBVENCIONES COOPERACION ","cooperación al desarrollo"
"ASOCIACION DE NIÑOS Y JOVENES INMIGRANTES MIRANDO HACIA EL FUTURO","G24567893","Asociación/Fundación","1","5750","2026-05-15","PONFERRADA","CONVOCATORIA PUBLICA ANTICIPADA DE SUBVENCIONES COOPERACION ","cooperación al desarrollo"
"FUNDACION ENRIQUE DE OSSO - DELEGACION ARAGON","G31825284","Asociación/Fundación","1","2250","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"ARAPAZ - MPDL ARAGON","G50550722","Asociación/Fundación","1","2200","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"ASOC PARA LA INNOVACION SOCIAL Y TECNOLOGICA","G42211763","Asociación/Fundación","1","2000","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"FUNDACION FAMILIAS UNIDAS","G50715705","Asociación/Fundación","1","2000","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"FUNDACION ILUMINAFRICA","G99170847","Asociación/Fundación","1","2000","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"ASOC HUAUQUIPURA ENTRE HERMANOS","G50422153","Asociación/Fundación","1","2000","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"DONO MANGA O.N.G.D.","G99061657","Asociación/Fundación","1","2000","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"ONGD OZONA","G85225092","Asociación/Fundación","1","2000","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"FUNDACION SOLIDARIDAD DON BOSCO","G90196072","Asociación/Fundación","1","2000","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"ASOC JUVENIL COLECTIVO SAHARAUI LEFRIG","G99372500","Asociación/Fundación","1","2000","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"DELWENDE AL SERVICIO DE LA VIDA","G81816019","Asociación/Fundación","1","2000","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"KUMARA INFANCIA DEL MUNDO","G99017741","Asociación/Fundación","1","1725","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"ASOC CASES D´AFRIQUE","G99533176","Asociación/Fundación","1","1500","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"FUNDACION SAN VICENTE DE PAUL","G28256667","Asociación/Fundación","1","1500","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"FUNDACION SIGNOS SOLIDARIOS","G86035938","Asociación/Fundación","1","1500","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"GEOLOGOS DEL MUNDO WORLD GEOLOGISTS","G82254285","Asociación/Fundación","1","1000","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"ASOC REACH INTERNACIONAL ESPAÑA","G50641000","Asociación/Fundación","1","677","2026-05-15","EJEA DE LOS CABALLEROS","CONVOCATORIA DEL AYUNTAMIENTO DE EJEA DE LOS CABALLEROS PARA","cooperación al desarrollo"
"FEDERACION ASOCIACIONES GITANAS DE NAVARRA    GAZ KALO","G31676059","Asociación/Fundación","2","255500","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social"
"ASOCIACION ITXAROPEN GUNE-LUGAR DE ESPERANZA  (A.I.G.L.E.)","G31820426","Asociación/Fundación","2","144000","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social"
"FUNDACION TUDELA COMPARTE","G71252795","Asociación/Fundación","2","134000","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social"
"ASOCIACION MEDICOS DEL MUNDO","G79408852","Asociación/Fundación","2","100522","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","acción social · inclusión social"
"FUNDACION ADCOR","G15546484","Asociación/Fundación","2","74000","2026-05-14","CORUÑA, A","Convenio entre Fundación ADCOR e o concello da Coruña para f","personas con discapacidad"
"ANTOX ASOCIACION NAVARRA PARA LA INVESTIGACION,PREVENCION Y TRATAMIENTO DE ADICCIONES","G31107485","Asociación/Fundación","2","55887","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social · voluntariado"
"ASOCIACION NAVARRA EN FAVOR DE LAS PERSONAS CON DISCAPACIDAD INTELECTUAL O TRASTORNOS DEL","G31058258","Asociación/Fundación","1","279321","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ANASAPS - ASOCIACION NAVARRA PARA LA SALUD MENTAL","G31191216","Asociación/Fundación","1","180795","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION NAVARRA DE AUTISMO","G71082010","Asociación/Fundación","1","125562","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION DE ESCLEROSIS MULTIPLE DE NAVARRA","G31575087","Asociación/Fundación","1","120000","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION DE FAMILIARES DE ENFERMOS DE       ALZHEIMER DE NAVARRA","G31286784","Asociación/Fundación","1","115301","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION COORDINADORA DE PERSONAS CON DISCAPACIDAD FISICA DE NAVARRA","G31153323","Asociación/Fundación","1","107537","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"FEDERACION DE ASOCIACIONES DE PERSONAS CON    DISCAPACIDAD FISICA Y ORGANICA DE NAVARRA","G31896103","Asociación/Fundación","1","93594","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION DE GITANOS DE NAVARRA DE LA MAJARI","G31129133","Asociación/Fundación","1","91500","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social"
"ASOCIACIÓN SENDOTU ALDI BEREAN PARA LA INCLUSIÓN SOCIAL","G95767299","Asociación/Fundación","1","90000","2026-05-14","BILBAO","ACUERDO DE COLABORACIÓN QUE SE SUSCRIBE ENTRE BILBAO EKINTZA","inclusión social"
"FUNDACION ATENA","G31711666","Asociación/Fundación","1","86211","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACIÓN UNZUTXIKI BERRI","G71169254","Asociación/Fundación","1","84000","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social"
"ASOCIACION RETINA NAVARRA NAFARROA RETINA ELK ARTEA","G31481567","Asociación/Fundación","1","79993","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION SINDROME DE DOWN DE NAVARRA","G31277197","Asociación/Fundación","1","79178","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION NAVARRA DE AYUDA A LA PARALISIS CEREBRAL ASPACE NAVARRA","G31077050","Asociación/Fundación","1","78374","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION NAVARRA DE PARKINSON","G31617129","Asociación/Fundación","1","78374","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION EUNATE DE FAMILIAS DE PERSONAS SORDAS DE NAVARRA","G31649072","Asociación/Fundación","1","75128","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"PLENA INCLUSION NAVARRA","G31699077","Asociación/Fundación","1","63038","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION DE PERSONAS SORDAS DE NAVARRA ASOR NA","G31058043","Asociación/Fundación","1","56868","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION POSTHAC - ENTIDAD SOCIAL POR EL EMPLEO","G71329221","Asociación/Fundación","1","55000","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social"
"FUNDACION ADSIS","G81436099","Asociación/Fundación","1","55000","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social"
"ASOCIACION ACOAD SERVICIOS ASISTENCIALES","G31129497","Asociación/Fundación","1","54007","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social"
"FUNDACION XILEMA","G71068647","Asociación/Fundación","1","50000","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social"
"FUNDACION ILUNDAIN HARITZ BERRI","G31725484","Asociación/Fundación","1","46121","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de Subvenciones a Entidades Sin Ánimo de Lucro ","inclusión social"
"ASOCIACION NAVARRA DE ESPINA BIFIDA E HIDROCE FALIA","G31385511","Asociación/Fundación","1","35434","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION NAVARRA DE LARINGECTOMIZADOS","G31215163","Asociación/Fundación","1","27641","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION NAVARRA DE ESCLEROSIS LATERAL AMIOTROFICA","G31680986","Asociación/Fundación","1","20242","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"ASOCIACION NAVARRA DE ENFERMEDADES NEUROMUSCU LARES ASNAEN","G31917974","Asociación/Fundación","1","9564","2026-05-14","COMUNIDAD FORAL DE NAVARRA","Convocatoria de subvenciones a iniciativa social del área de","personas con discapacidad"
"COCEMFE TALAVERA","G45224888","Asociación/Fundación","1","8000","2026-05-14","DIPUTACIÓN PROV. DE TOLEDO","Convenio 2026 - Asoc. Personas con Discapacidad Física y Sen","personas con discapacidad"
"FUNDACIÓ PRIVADA TAC OSONA","G65187056","Asociación/Fundación","1","600982","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"CTRE.ESP.D'OCUP.DEL MARESME","G58376872","Asociación/Fundación","1","509056","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIO AMPANS","G08444671","Asociación/Fundación","1","489988","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIÓ PRESIDENT AMAT ROUMENS","G58049016","Asociación/Fundación","1","478838","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUND.PRIV.TALLERS DE CATALUNYA","G58710435","Asociación/Fundación","1","457351","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIO PRIVADA MAS ALBORNA","G63570709","Asociación/Fundación","1","411612","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIO PRIVADA MAS XIRGU","G55121909","Asociación/Fundación","1","369248","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"INTEC SERVEIS","G62277751","Asociación/Fundación","1","358166","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACION DKV NTEGRALIA","G62114798","Asociación/Fundación","1","308835","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
"FUNDACIO PRIVADA MAP","G17414905","Asociación/Fundación","1","268428","2026-05-13","CATALUÑA","Subvenciones para el apoyo a la ocupación de personas trabaj","personas con discapacidad"
